-3191 , -3191
-3148 , -3148
-3274 , -3274
-3491 , -3491
-3592 , -3592
-3604 , -3604
-3643 , -3643
-3760 , -3760
-3714 , -3714
-3394 , -3394
-2832 , -2832
-2098 , -2098
-1317 , -1317
-698 , -698
-132 , -132
606 , 606
1509 , 1509
2266 , 2266
2519 , 2519
2494 , 2494
2410 , 2410
2419 , 2419
2688 , 2688
3132 , 3132
3621 , 3621
4035 , 4035
4417 , 4417
5013 , 5013
5889 , 5889
6642 , 6642
7055 , 7055
7203 , 7203
7107 , 7107
6940 , 6940
6847 , 6847
6722 , 6722
6400 , 6400
5906 , 5906
5401 , 5401
5088 , 5088
5059 , 5059
5193 , 5193
5387 , 5387
5579 , 5579
5729 , 5729
5857 , 5857
5921 , 5921
5800 , 5800
5562 , 5562
5357 , 5357
5102 , 5102
4749 , 4749
4469 , 4469
4408 , 4408
4504 , 4504
4746 , 4746
5026 , 5026
5281 , 5281
5641 , 5641
5974 , 5974
6164 , 6164
6213 , 6213
6030 , 6030
5703 , 5703
5335 , 5335
4798 , 4798
4020 , 4020
3180 , 3180
2457 , 2457
1907 , 1907
1440 , 1440
973 , 973
568 , 568
250 , 250
-54 , -54
-357 , -357
-631 , -631
-965 , -965
-1432 , -1432
-1997 , -1997
-2545 , -2545
-2989 , -2989
-3452 , -3452
-3885 , -3885
-4194 , -4194
-4376 , -4376
-4345 , -4345
-4267 , -4267
-4152 , -4152
-3770 , -3770
-3292 , -3292
-3020 , -3020
-2724 , -2724
-2249 , -2249
-1917 , -1917
-1627 , -1627
-1256 , -1256
-850 , -850
-431 , -431
-98 , -98
159 , 159
419 , 419
813 , 813
1260 , 1260
1453 , 1453
1377 , 1377
1360 , 1360
1469 , 1469
1579 , 1579
1512 , 1512
1253 , 1253
1026 , 1026
776 , 776
542 , 542
360 , 360
107 , 107
-130 , -130
-186 , -186
-243 , -243
-402 , -402
-428 , -428
-436 , -436
-614 , -614
-787 , -787
-872 , -872
-1052 , -1052
-1398 , -1398
-1802 , -1802
-2095 , -2095
-2300 , -2300
-2541 , -2541
-2732 , -2732
-2834 , -2834
-2884 , -2884
-2842 , -2842
-2732 , -2732
-2635 , -2635
-2626 , -2626
-2655 , -2655
-2566 , -2566
-2414 , -2414
-2396 , -2396
-2672 , -2672
-3077 , -3077
-3243 , -3243
-3224 , -3224
-3172 , -3172
-3075 , -3075
-3116 , -3116
-3227 , -3227
-3089 , -3089
-2785 , -2785
-2555 , -2555
-2530 , -2530
-2553 , -2553
-2572 , -2572
-2702 , -2702
-2818 , -2818
-2979 , -2979
-3223 , -3223
-3475 , -3475
-3811 , -3811
-4030 , -4030
-4202 , -4202
-4554 , -4554
-4697 , -4697
-4786 , -4786
-4956 , -4956
-5042 , -5042
-5238 , -5238
-5352 , -5352
-5476 , -5476
-5776 , -5776
-5877 , -5877
-5792 , -5792
-5867 , -5867
-5863 , -5863
-5867 , -5867
-5836 , -5836
-5570 , -5570
-5600 , -5600
-5503 , -5503
-5331 , -5331
-5380 , -5380
-4978 , -4978
-4318 , -4318
-3345 , -3345
-2035 , -2035
-1121 , -1121
-540 , -540
-21 , -21
543 , 543
1497 , 1497
2519 , 2519
3110 , 3110
3044 , 3044
2700 , 2700
2740 , 2740
2687 , 2687
2508 , 2508
2349 , 2349
2035 , 2035
2052 , 2052
2173 , 2173
2275 , 2275
2408 , 2408
2048 , 2048
1326 , 1326
565 , 565
-95 , -95
-574 , -574
-1222 , -1222
-2081 , -2081
-2958 , -2958
-3937 , -3937
-4422 , -4422
-4404 , -4404
-4414 , -4414
-4398 , -4398
-4538 , -4538
-4724 , -4724
-4705 , -4705
-4478 , -4478
-4303 , -4303
-4418 , -4418
-4597 , -4597
-4664 , -4664
-4590 , -4590
-4257 , -4257
-3671 , -3671
-2956 , -2956
-2012 , -2012
-1127 , -1127
-262 , -262
818 , 818
1730 , 1730
2570 , 2570
3390 , 3390
3962 , 3962
4259 , 4259
4262 , 4262
4270 , 4270
4424 , 4424
4571 , 4571
4950 , 4950
5364 , 5364
5594 , 5594
5799 , 5799
5858 , 5858
6021 , 6021
6228 , 6228
6249 , 6249
6278 , 6278
6111 , 6111
5936 , 5936
5975 , 5975
5970 , 5970
6044 , 6044
6263 , 6263
6655 , 6655
7259 , 7259
7786 , 7786
8072 , 8072
8274 , 8274
8567 , 8567
8836 , 8836
8719 , 8719
8178 , 8178
7398 , 7398
6532 , 6532
5859 , 5859
5330 , 5330
4892 , 4892
4538 , 4538
4200 , 4200
4151 , 4151
4398 , 4398
4838 , 4838
5307 , 5307
5517 , 5517
5605 , 5605
5631 , 5631
5633 , 5633
5599 , 5599
5131 , 5131
4368 , 4368
3630 , 3630
2890 , 2890
2338 , 2338
1865 , 1865
1301 , 1301
812 , 812
337 , 337
-181 , -181
-664 , -664
-1204 , -1204
-1754 , -1754
-2240 , -2240
-2801 , -2801
-3477 , -3477
-4112 , -4112
-4636 , -4636
-5051 , -5051
-5339 , -5339
-5526 , -5526
-5661 , -5661
-5705 , -5705
-5577 , -5577
-5440 , -5440
-5308 , -5308
-5098 , -5098
-4821 , -4821
-4579 , -4579
-4524 , -4524
-4527 , -4527
-4332 , -4332
-3867 , -3867
-3321 , -3321
-2842 , -2842
-2416 , -2416
-1915 , -1915
-1288 , -1288
-613 , -613
97 , 97
715 , 715
1218 , 1218
1620 , 1620
1848 , 1848
2027 , 2027
2141 , 2141
2122 , 2122
2053 , 2053
1803 , 1803
1421 , 1421
1156 , 1156
905 , 905
626 , 626
399 , 399
130 , 130
-111 , -111
-310 , -310
-572 , -572
-746 , -746
-843 , -843
-977 , -977
-1063 , -1063
-1108 , -1108
-1154 , -1154
-1154 , -1154
-1075 , -1075
-918 , -918
-735 , -735
-587 , -587
-371 , -371
-149 , -149
-38 , -38
68 , 68
162 , 162
110 , 110
-30 , -30
-244 , -244
-482 , -482
-631 , -631
-842 , -842
-989 , -989
-1018 , -1018
-1101 , -1101
-1060 , -1060
-917 , -917
-843 , -843
-812 , -812
-775 , -775
-759 , -759
-851 , -851
-1053 , -1053
-1233 , -1233
-1354 , -1354
-1650 , -1650
-2007 , -2007
-2250 , -2250
-2475 , -2475
-2607 , -2607
-2876 , -2876
-3095 , -3095
-3240 , -3240
-3469 , -3469
-3498 , -3498
-3565 , -3565
-3651 , -3651
-3885 , -3885
-4346 , -4346
-4408 , -4408
-4319 , -4319
-4453 , -4453
-4478 , -4478
-4654 , -4654
-4862 , -4862
-4990 , -4990
-5181 , -5181
-5119 , -5119
-5216 , -5216
-5332 , -5332
-5340 , -5340
-5203 , -5203
-4569 , -4569
-3863 , -3863
-2940 , -2940
-1761 , -1761
-908 , -908
-170 , -170
714 , 714
1412 , 1412
2322 , 2322
3089 , 3089
3256 , 3256
3612 , 3612
3785 , 3785
3655 , 3655
3629 , 3629
3681 , 3681
3874 , 3874
4121 , 4121
4493 , 4493
4698 , 4698
4430 , 4430
3936 , 3936
3201 , 3201
2299 , 2299
1486 , 1486
446 , 446
-719 , -719
-1626 , -1626
-2582 , -2582
-3391 , -3391
-3859 , -3859
-4135 , -4135
-4193 , -4193
-4158 , -4158
-3953 , -3953
-3723 , -3723
-3646 , -3646
-3625 , -3625
-3787 , -3787
-4114 , -4114
-4318 , -4318
-4465 , -4465
-4522 , -4522
-4321 , -4321
-3987 , -3987
-3451 , -3451
-2816 , -2816
-2051 , -2051
-1124 , -1124
-260 , -260
425 , 425
844 , 844
1170 , 1170
1426 , 1426
1521 , 1521
1627 , 1627
1809 , 1809
1906 , 1906
2099 , 2099
2529 , 2529
3051 , 3051
3571 , 3571
3984 , 3984
4342 , 4342
4517 , 4517
4459 , 4459
4254 , 4254
3878 , 3878
3404 , 3404
2779 , 2779
2087 , 2087
1547 , 1547
1168 , 1168
1095 , 1095
1389 , 1389
1835 , 1835
2485 , 2485
3180 , 3180
3707 , 3707
4203 , 4203
4700 , 4700
5247 , 5247
5550 , 5550
5459 , 5459
5520 , 5520
5674 , 5674
5751 , 5751
5967 , 5967
6123 , 6123
6258 , 6258
6647 , 6647
7191 , 7191
7743 , 7743
7945 , 7945
7680 , 7680
7285 , 7285
6822 , 6822
6246 , 6246
5448 , 5448
4547 , 4547
3610 , 3610
2679 , 2679
2161 , 2161
1937 , 1937
1879 , 1879
1886 , 1886
1868 , 1868
2012 , 2012
2241 , 2241
2371 , 2371
2300 , 2300
2008 , 2008
1554 , 1554
1045 , 1045
444 , 444
-133 , -133
-566 , -566
-976 , -976
-1281 , -1281
-1490 , -1490
-1725 , -1725
-1906 , -1906
-1934 , -1934
-1912 , -1912
-1961 , -1961
-2087 , -2087
-2290 , -2290
-2424 , -2424
-2462 , -2462
-2505 , -2505
-2500 , -2500
-2359 , -2359
-2135 , -2135
-1825 , -1825
-1416 , -1416
-1034 , -1034
-639 , -639
-302 , -302
-106 , -106
64 , 64
160 , 160
172 , 172
70 , 70
-110 , -110
-217 , -217
-340 , -340
-544 , -544
-682 , -682
-767 , -767
-827 , -827
-850 , -850
-915 , -915
-969 , -969
-1039 , -1039
-1196 , -1196
-1388 , -1388
-1634 , -1634
-1945 , -1945
-2320 , -2320
-2797 , -2797
-3359 , -3359
-3938 , -3938
-4500 , -4500
-5025 , -5025
-5422 , -5422
-5698 , -5698
-5832 , -5832
-5754 , -5754
-5538 , -5538
-5217 , -5217
-4874 , -4874
-4543 , -4543
-4177 , -4177
-3801 , -3801
-3467 , -3467
-3200 , -3200
-3023 , -3023
-2875 , -2875
-2642 , -2642
-2490 , -2490
-2396 , -2396
-2179 , -2179
-1766 , -1766
-1223 , -1223
-805 , -805
-457 , -457
-210 , -210
-70 , -70
197 , 197
289 , 289
69 , 69
-324 , -324
-762 , -762
-990 , -990
-1157 , -1157
-1297 , -1297
-1365 , -1365
-1387 , -1387
-1315 , -1315
-1178 , -1178
-899 , -899
-647 , -647
-841 , -841
-1139 , -1139
-967 , -967
-830 , -830
-1063 , -1063
-1466 , -1466
-1959 , -1959
-2581 , -2581
-3124 , -3124
-3056 , -3056
-2960 , -2960
-3167 , -3167
-3179 , -3179
-3252 , -3252
-3119 , -3119
-2752 , -2752
-2791 , -2791
-2541 , -2541
-2005 , -2005
-1591 , -1591
-637 , -637
342 , 342
782 , 782
1142 , 1142
1464 , 1464
1677 , 1677
1893 , 1893
2144 , 2144
2430 , 2430
2396 , 2396
2175 , 2175
1944 , 1944
1774 , 1774
2080 , 2080
2319 , 2319
2494 , 2494
2993 , 2993
3519 , 3519
4047 , 4047
4193 , 4193
3789 , 3789
3146 , 3146
2350 , 2350
1570 , 1570
674 , 674
-466 , -466
-1499 , -1499
-2576 , -2576
-3507 , -3507
-3966 , -3966
-4285 , -4285
-4218 , -4218
-3872 , -3872
-3755 , -3755
-3633 , -3633
-3405 , -3405
-3151 , -3151
-3003 , -3003
-2984 , -2984
-2898 , -2898
-2779 , -2779
-2544 , -2544
-2103 , -2103
-1605 , -1605
-1018 , -1018
-272 , -272
426 , 426
1154 , 1154
1924 , 1924
2475 , 2475
2855 , 2855
3087 , 3087
3105 , 3105
2998 , 2998
3002 , 3002
3107 , 3107
3240 , 3240
3512 , 3512
3901 , 3901
4392 , 4392
4984 , 4984
5497 , 5497
5772 , 5772
5962 , 5962
6034 , 6034
5903 , 5903
5607 , 5607
5186 , 5186
4724 , 4724
4098 , 4098
3426 , 3426
2965 , 2965
2645 , 2645
2484 , 2484
2544 , 2544
2751 , 2751
3014 , 3014
3189 , 3189
3374 , 3374
3528 , 3528
3435 , 3435
3262 , 3262
3061 , 3061
2740 , 2740
2407 , 2407
2214 , 2214
2142 , 2142
2007 , 2007
1827 , 1827
1826 , 1826
1952 , 1952
2093 , 2093
2123 , 2123
1793 , 1793
1284 , 1284
750 , 750
184 , 184
-250 , -250
-814 , -814
-1619 , -1619
-2228 , -2228
-2482 , -2482
-2672 , -2672
-2867 , -2867
-2942 , -2942
-2941 , -2941
-2827 , -2827
-2558 , -2558
-2405 , -2405
-2795 , -2795
-3406 , -3406
-3751 , -3751
-4107 , -4107
-4654 , -4654
-5133 , -5133
-5256 , -5256
-5113 , -5113
-4811 , -4811
-4359 , -4359
-3818 , -3818
-3057 , -3057
-2082 , -2082
-1123 , -1123
-149 , -149
833 , 833
1508 , 1508
1858 , 1858
1799 , 1799
1680 , 1680
1954 , 1954
2080 , 2080
1945 , 1945
1765 , 1765
1487 , 1487
1444 , 1444
1803 , 1803
2275 , 2275
2743 , 2743
3220 , 3220
3643 , 3643
3949 , 3949
4241 , 4241
4508 , 4508
4532 , 4532
4412 , 4412
4196 , 4196
3892 , 3892
3566 , 3566
3258 , 3258
3085 , 3085
2888 , 2888
2489 , 2489
1989 , 1989
1537 , 1537
1194 , 1194
868 , 868
379 , 379
-254 , -254
-923 , -923
-1698 , -1698
-2392 , -2392
-2941 , -2941
-3566 , -3566
-4098 , -4098
-4392 , -4392
-4429 , -4429
-4289 , -4289
-4257 , -4257
-4331 , -4331
-4527 , -4527
-4696 , -4696
-4700 , -4700
-4844 , -4844
-5222 , -5222
-5782 , -5782
-6336 , -6336
-6759 , -6759
-7098 , -7098
-7358 , -7358
-7470 , -7470
-7343 , -7343
-7042 , -7042
-6572 , -6572
-5935 , -5935
-5158 , -5158
-4552 , -4552
-4070 , -4070
-3516 , -3516
-2991 , -2991
-2686 , -2686
-2762 , -2762
-2934 , -2934
-3022 , -3022
-3108 , -3108
-3504 , -3504
